movie,Academy Awards adapted screenplay,Academy Awards original screenplay,BAFTA nominations,Golden Globe Award for Best Screenplay,Writers Guild Awards Winners & Nominees 2020-2013
Fargo_2802850,-,+,+,+,-
Flight_1907668,-,+,-,-,+
The Fighter_0964517,-,+,+,-,-
Five Easy Pieces_0065724,-,+,-,+,-
Finding Nemo_0266543,-,+,+,-,-
Frozen River_0978759,-,+,-,-,-
Gangs of New York_0217505,-,+,+,-,-
Gandhi_0083987,-,+,+,+,-
Get Out_5052448,-,+,+,-,+
Gladiator_0172495,-,+,+,-,-
Ghost_0099653,-,+,+,-,-
Good Will Hunting_0119217,-,+,-,-,-
Heavenly Creatures_0110005,-,+,-,-,-
Her_1798709,-,+,-,+,+
The Hospital_0067217,-,+,+,+,-
Inception_1375666,-,+,+,+,-
Inglourious Basterds_0361748,-,+,+,+,-
Jerry Maguire_0116695,-,+,-,-,-
Juno_0467406,-,+,+,+,-
Klute_0067309,-,+,-,+,-
The Kids Are All Right_0842926,-,+,+,+,-
La La Land_3783958,-,+,+,+,+
The Ladykillers_0335245,-,+,+,-,-
The King s Speech_1504320,-,+,+,+,-
Lone Star_0116905,-,+,+,+,-
Lost in Translation_0335266,-,+,+,+,-
Magnolia_0175880,-,+,-,-,-
Margin Call_1615147,-,+,-,-,-
Midnight in Paris_1605783,-,+,+,+,-
Moonrise Kingdom_1748122,-,+,+,-,+
Milk_1013753,-,+,+,-,-
Moonstruck_0093565,-,+,+,+,-
Philadelphia_0107818,-,+,+,+,-
Pulp Fiction_0110912,-,+,+,+,-
Who Framed Roger Rabbit_0096438,-,-,+,-,-
Empire of the Sun_0092965,-,-,+,-,-
Gone Girl_2267998,-,-,+,+,+
I Tonya_5580036,-,-,+,-,+
Inside Llewyn Davis_2042568,-,-,+,-,-
Moulin Rouge_0203009,-,-,+,-,-
Steve Jobs_2080374,-,-,+,+,+
The Hateful Eight_3460252,-,-,+,+,-
The Iron Lady_1007029,-,-,+,-,-
Blazing Saddles_0071230,-,-,+,-,-
Hacksaw Ridge_2119532,-,-,+,-,-
Nocturnal Animals_4550098,-,-,+,+,+
Paddington 2_7904114,-,-,+,-,-
Postcards from the Edge_0100395,-,-,+,-,-
Revolutionary Road_0959337,-,-,+,-,-
Paris Texas_0087884,-,-,+,-,-
Ran_0089881,-,-,+,-,-
Sleuth_0857265,-,-,+,-,-
The Death of Stalin_4686844,-,-,+,-,-
The Guard_1540133,-,-,+,-,-
The Others_0230600,-,-,+,-,-
21 Grams_0315733,-,-,+,-,-
Casino Royale_0381061,-,-,+,-,-
Collateral_0369339,-,-,+,-,-
Close Encounters of the Third Kind_0075860,-,-,+,+,-
Cinema Paradiso_0095765,-,-,+,-,-
Girl with a Pearl Earring_0335119,-,-,+,-,-
I ve Loved You So Long_1068649,-,-,+,-,-
Pride and Prejudice_1332374,-,-,+,-,-
The Adventures of Priscilla Queen of the Desert_0109045,-,-,+,-,-
Booksmart_1489887,-,-,+,-,+
Film Stars Don t Die in Liverpool_5711148,-,-,+,-,-
Airplane_0080339,-,-,+,-,-
American Gangster_0765429,-,-,+,-,-
Anastasia_0118617,-,-,+,-,-
Being There_0078841,-,-,+,+,-
Big Fish_0319061,-,-,+,-,-
Black Swan_0947798,-,-,+,-,-
Burn After Reading_0887883,-,-,+,-,-
Catch Me If You Can_0264464,-,-,+,-,-
Changeling_0824747,-,-,+,-,-
Cold Mountain_0159365,-,-,+,+,-
The Devil Wears Prada_0458352,-,-,+,-,-
The Girl with the Dragon Tattoo_1568346,-,-,+,-,-
Groundhog Day_0107048,-,-,+,-,-
Gravity_1454468,-,-,+,-,-
The Hangover_1119646,-,-,+,-,-
The Help_1454029,-,-,+,-,-
High Fidelity_0876719,-,-,+,-,-
The Ice Storm_0119349,-,-,+,-,-
Jaws_0073195,-,-,+,+,-
The King of Comedy_0085794,-,-,+,-,-
The Master_1560747,-,-,+,-,+
Mrs Brown_0119280,-,-,+,-,-
Nashville_0073440,-,-,+,+,-
Pretty Woman_0100405,-,-,+,-,-
Get Shorty_5761496,-,-,-,+,-
Love Actually_0314331,-,-,-,+,-
Quills_0180073,-,-,-,+,-
The Post_6294822,-,-,-,+,-
Charlie Wilson s War_0472062,-,-,-,+,-
Raging Bull_0081398,-,-,-,+,-
Taxi Driver_0075314,-,-,-,+,-
The Four Seasons_0082405,-,-,-,+,-
About Schmidt_0257360,-,-,-,+,-
Mary Queen of Scots_2328900,-,-,-,+,-
Deliverance_0068473,-,-,-,+,-
A Few Good Men_0849162,-,-,-,+,-
Happiness_0147612,-,-,-,+,-
Mr Holland s Opus_0113862,-,-,-,+,-
Working Girl_0096463,-,-,-,+,-
A Few Good Men_0104257,-,-,-,+,-
2012_1190080,-,-,-,+,-
The American President_0112346,-,-,-,+,-
Blue Velvet_0090756,-,-,-,+,-
It s Complicated_1230414,-,-,-,+,-
The Man Who Wasn t There_0243133,-,-,-,+,-
The Producers_0063462,-,-,-,+,-
Lone Survivor_1091191,-,-,-,-,+
Trainwreck_3152624,-,-,-,-,+
Trumbo_3203606,-,-,-,-,+
Loving_4669986,-,-,-,-,+
Wild_2305051,-,-,-,-,+
Sicario_3397884,-,-,-,-,+
Eighth Grade_7014006,-,-,-,-,+
A Beautiful Day in the Neighborhood_3224458,-,-,-,-,+
A Quiet Place_6644200,-,-,-,-,+
August Osage County_1322269,-,-,-,-,+
Black Panther_1825683,-,-,-,-,+
Deadpool_1431045,-,-,-,-,+
Looper_1276104,-,-,-,-,+
The Perks of Being a Wallflower_1659337,-,-,-,-,+
Kingsman Theory of Everything Foxcatcher_4682196,-,-,-,-,+
One Soldier s Story The Journey of American Sniper_4781700,-,-,-,-,+
